tweet id,name,handle,text,datetime,bait
1543998963271041026,Asmongold,Asmongold,I am bad at video games,"9:43 AM · Jul 4, 2022",
1539062883048464384,,,"Never in my life did I imagine a US senator would engage in a conversation with me regarding P2W and lootboxes in video games LOL
Very excited!","6:49 PM · Jun 20, 2022",
1531774809499115520,,,"A lot of people out there saying I have bad takes
I don't","4:09 PM · May 31, 2022",
1528946150048399360,,,One of my favorite parts of the day is cozying up in bed under the blankets and reading hate threads about myself,"8:49 PM · May 23, 2022",Mizkif
1504676505653235748,,,The worst thing about vtubers is that they remind me that catgirls aren't real,"9:30 PM · Mar 17, 2022",Tectone
1520600616455655425,,,I should buy an alpaca,"8:06 PM · Apr 30, 2022",Emiru
1513176193977229316,,,Genshin Impact,"8:24 AM · Apr 10, 2022",Tectone
1543660523094515713,Esfand,EsfandTV,"I’m looking for a fertile woman to do the baby thing for content for a couple days week maybe idk, just think it would be better with a real baby. You can keep the kid when we’re done with it and I can even throw in an autograph or something lmk","11:18 AM · Jul 3, 2022",Mizkif
1535123067122307072,,,"I just went to a gamer bar in LA and didn’t get recognized, my ego is shattered.","9:53 PM · Jun 9, 2022",
1532654362031538178,,,I love seeing people tweet pictures with their new OTK merch and how happy they are 😁,"2:24 AM · Jun 3, 2022",Emiru
1530619839911444480,,,I saw this piece of wood at the store for 60 bucks and I bought it because it looked like Texas,"11:39 AM · May 28, 2022",
1525743013938581507,,,"Oh how unfortunate, they ran out of the EXTRA LARGE CONDOMS at the front desk of the hotel. Sorry ladies, no action from me tonight!","12:40 AM · May 15, 2022",
1522428266241748992,,,how tf South Korea so clean when I can’t find a goddamn trash can anywhere,"9:09 PM · May 5, 2022",Mizkif
1504297206156832769,,,Final 3 hours of the Uncapped Subathon /salute,"8:22 PM · Mar 16, 2022",
1546208809160478720,Rich Campbell,richwcampbell,Oh no we have been bad boys 💦💦💦 so hot in Texas 💦💦💦what would you do to cool us off ?,"12:04 PM · Jul 10, 2022",
1545554488521621527,,,Being back in Texas with everyone is so nice,"4:44 PM · Jul 8, 2022",Emiru
